              Y1            X1          X2 X3
1    4.327805385   1.335158492 0.473014025  6
2    8.139682825  17.337504079 0.319539265  7
3    3.193993956   6.796402765 0.345266465  3
4    1.869722445   0.081495263 0.105961028  3
5    6.148740947   2.878261890 0.246531243  8
6    7.611792744   6.028480316 0.204543728  9
7    0.391672187   4.282714427 0.906453833  0
8    3.247701031   1.875145230 0.075994951  4
9    3.497953377   2.955656260 0.031904316  4
10   5.366991951   4.395668106 0.844542091  7
11   4.467996456  -0.950892104 0.491684617  7
12   2.024077973   0.731579386 0.854905405  3
13   1.634908210   5.978426262 0.432104977  1
14   2.600327279  -0.109721772 0.119134198  4
15   2.795532306   5.168674561 0.924149868  3
16   2.023510855  -3.569642824 0.005474422  4
17   5.123791101   6.547749461 0.476375643  6
18   2.252076782   8.345130421 0.166665636  1
19  -0.564472063  -0.277458893 0.849552376  0
20   2.156908015  -5.920465428 0.119149605  5
21   0.634610065   3.521222721 0.593457738  0
22   5.299671417   3.223895077 0.492252788  7
23   0.900054348  -5.775048656 0.201514317  3
24   1.166576774   4.987363100 0.640014266  1
25   4.352588961  -8.168647805 0.648016191  9
26   3.883276674  -1.830472142 0.941228240  7
27   3.428657755  10.243203719 0.134666406  2
28   5.156473866   5.909306277 0.595781711  6
29   0.405561520   2.535176358 0.117574417  0
30   3.078601261 -12.195154653 0.057381007  8
31   2.972637505   2.420238010 0.887592260  4
32  -0.392505284  -3.342458629 0.629756491  1
33   5.780606199   2.207601166 0.583704290  8
34   6.112519721   2.636018022 0.127802561  8
35   1.601000252   4.276810731 0.056531915  1
36   6.090795383   0.480285729 0.586938295  9
37   5.028109143   1.236836947 0.270244699  7
38   0.940476610  -0.437202713 0.549157776  2
39   2.355439938   2.628292794 0.728537118  3
40   0.980512227  -1.257590109 0.218011726  2
41   0.597719260   5.025162771 0.609669798  0
42  -0.173068036  -2.778540263 0.561296690  1
43   1.650192627  -4.549484443 0.328326388  4
44   0.738456646   1.568136041 0.766206898  1
45   3.992585998  -0.284855138 0.171901115  6
46   2.074370546   4.247907880 0.824567105  2
47   1.457457883  -5.643218069 0.394434615  4
48   3.828256443   3.306520570 0.851487622  5
49   4.413305898   6.894994659 0.817755717  5
50   0.098618656  -2.467828198 0.260649426  1
51   1.846987998   5.882496149 0.285419644  1
52   2.056714104   6.135494480 0.016865892  1
53   1.950910547   4.950128794 0.831669741  2
54  -1.255749435  -3.492089067 0.794534577  0
55   2.485224486   0.433361798 0.743221911  4
56   0.454198119   3.621732535 0.485171958  0
57   5.059309606  -5.194730321 0.397423546  9
58   0.040338481  -2.231817404 0.644465280  1
59   0.766301776   4.420019687 0.034319972  0
60   4.709093990   7.368437480 0.202679761  5
61   2.102146859   3.635369348 0.204562509  2
62   1.044194910  -0.484289849 0.512252576  2
63   2.229280574  -1.174019092 0.743083433  4
64   5.506174963  11.626397705 0.372810532  5
65   0.206779449   0.299476536 0.965324217  1
66   4.405658286   5.460087923 0.328674891  5
67  -0.918453309  -3.646204524 0.797082340  0
68   4.722668049  -3.028754250 0.889257192  8
69   2.022177458  -0.002411612 0.161843150  3
70   4.175126215   3.790150352 0.378793695  5
71   3.011122001   6.322682523 0.593272669  3
72   6.583874710   2.042293211 0.173679614  9
73   5.588336273   4.355957951 0.347871778  7
74   6.283138974   1.506724319 0.352953273  9
75   2.699520579   3.718187526 0.286770504  3
76  -0.380282165  -5.198064722 0.127916657  1
77   0.275902067   2.279783902 0.136333372  0
78   1.088176712   0.967350956 0.716550937  2
79   6.708763945   1.080483759 0.221702550  9
80   5.113760257  -1.108055038 0.433949504  8
81   3.873160146  10.639858920 0.799885877  3
82   1.153997013  -2.198866279 0.908977636  3
83   6.089357432   0.597057650 0.969993200  9
84   0.569995407  -2.186472595 0.710225354  2
85   0.501630107   0.625826237 0.739953978  1
86   6.488687099   4.361723480 0.117170825  8
87   2.960649450  -9.128439509 0.120005629  7
88   2.900268983   1.082041299 0.105501923  4
89   1.492508446   0.529251599 0.239763196  2
90   4.897486010  -3.719989898 0.181573709  8
91   5.367765269   1.185981161 0.982522051  8
92   2.561106416   3.338818724 0.161797713  3
93   1.978376930   3.284006988 0.321901878  2
94   0.471410339  -0.517883622 0.100589793  1
95   5.389484885  13.568411991 0.215582899  4
96   4.787481126   0.357613016 0.640756033  7
97   3.373344395  -6.003458712 0.323154505  7
98   3.752525929  -0.754461251 0.742230831  6
99   2.993331818   6.799204518 0.991627125  3
100  0.007632691  -1.762316021 0.733845907  1
