date,men,women,jewel,mail,page,phone,print,service,YEAR_,MONTH_,DATE_,Seasonal_Err_Men,Seasonal_AdjSer_Men,Seasonal_Factors_Men,Seasonal_TrendCycle_Men
1989-01-01,11357.920000,16578.930000,10776.380000,7978.000000,73.000000,34.000000,22294.480000,20.000000,1989.000000,1.000000,"JAN 1989",0.919551,11932.954703,0.951811,12976.929728
1989-02-01,10605.950000,18236.130000,10821.970000,8290.000000,88.000000,29.000000,27426.470000,20.000000,1989.000000,2.000000,"FEB 1989",0.846981,12550.902573,0.845035,14818.392791
1989-03-01,16998.570000,43393.550000,22845.790000,8029.000000,65.000000,24.000000,27978.660000,26.000000,1989.000000,3.000000,"MAR 1989",1.496159,19971.321098,0.851149,13348.390610
1989-04-01,6563.750000,30908.490000,11102.620000,7752.000000,85.000000,20.000000,28949.650000,22.000000,1989.000000,4.000000,"APR 1989",0.678450,7727.042000,0.849452,11389.262497
1989-05-01,6607.690000,28701.580000,16066.570000,8685.000000,74.000000,17.000000,22642.270000,21.000000,1989.000000,5.000000,"MAY 1989",0.753748,7732.708346,0.854512,10259.006323
1989-06-01,9839.000000,29647.570000,11061.280000,7847.000000,87.000000,30.000000,27210.610000,23.000000,1989.000000,6.000000,"JUN 1989",1.134113,11363.275015,0.865860,10019.529191
1989-07-01,9398.320000,31141.510000,11328.970000,7881.000000,79.000000,28.000000,26632.960000,22.000000,1989.000000,7.000000,"JUL 1989",1.010561,10980.976743,0.855873,10866.217413
1989-08-01,10395.530000,31177.310000,16788.870000,8121.000000,72.000000,27.000000,30374.970000,20.000000,1989.000000,8.000000,"AUG 1989",0.960734,10931.525496,0.950968,11378.308950
1989-09-01,11663.130000,30672.370000,14452.610000,7811.000000,83.000000,35.000000,26794.790000,15.000000,1989.000000,9.000000,"SEP 1989",1.072240,12530.717116,0.930763,11686.487069
1989-10-01,12805.220000,37633.380000,16055.820000,8706.000000,111.000000,25.000000,32808.140000,20.000000,1989.000000,10.000000,"OCT 1989",0.944159,11223.541329,1.140925,11887.344158
