customer_id	campaign	response	response_date	purchase	purchase_date	product_id	Rowid	age	age_youngest_child	average#balance#feed#index	branch	debt_equity	gender	bad_payment	gold_card	pension_plan	household_debt_to_equity_ratio	income	marital	members_in_household	months_current_account	months_customer	call_center_contacts	loan_accounts	number_products	number_transactions	non_worker_percentage	white_collar_percentage	rfm_score	X_random
117056	2	1	2006-07-28 00:00:00	1		421	2647	24	0	169	"Queensbury"	24	"F"	0	0	0	47	78654.000000	"S"	2	38	"48"	4	1	2	1	9	42	7.535670	3
117063	1	1	2006-04-27 00:00:00	1	2006-04-27 00:00:00		173	39	7	182	"Foxton"	39	"M"	0	0	0	47	78654.000000	"S"	2	41	"48"	4	0	1	1	9	42	9.425670	3
117096	2	1	2006-07-17 00:00:00	1		421	1738	29	3	104	"Catburg"	29	"F"	0	0	0	57	78652.000000	"U"	7	38	"48"	2	1	1	1	7	35	13.237300	2
117161	2	1	2006-07-13 00:00:00	1		183	1396	34	7	595	"Foxton"	34	"M"	0	0	0	56	78660.000000	"M"	2	6	"12"	2	0	5	18	6	36	24.827700	3
117221	2	1	2006-07-13 00:00:00	1		183	1401	66	38	489	"Queensbury"	66	"F"	0	0	0	49	78692.000000	"U"	1	22	"24"	3	0	3	26	9	41	33.088699	1
117269	2	1	2006-07-22 00:00:00	1		183	2180	32	5	409	"Kingsville"	32	"M"	0	0	0	54	78699.000000	"U"	5	33	"36"	2	0	4	11	15	29	17.708401	1
117273	2	1	2006-07-08 00:00:00	1		183	1045	15	0	312	"Princeton"	15	"F"	0	0	1	54	78699.000000	"S"	5	26	"36"	2	2	2	13	15	29	19.435699	2
117325	2	1	2006-07-26 00:00:00	1		183	2507	35	4	488	"Queensbury"	35	"F"	0	0	0	62	78721.000000	"U"	7	7	"12"	1	3	5	29	10	27	35.598400	2
117332	2	1	2006-07-17 00:00:00	1		183	1737	52	23	646	"Ravensville"	52	"M"	0	0	0	53	78667.000000	"U"	2	9	"12"	3	5	4	20	12	34	26.759001	2
117346	2	1	2006-07-20 00:00:00	1		421	2016	44	12	228	"Princeton"	44	"M"	0	0	0	53	78667.000000	"S"	3	35	"36"	3	0	1	1	12	34	12.719000	2
117363	2	1	2006-07-04 00:00:00	1		183	712	36	5	544	"Foxton"	36	"F"	0	0	0	63	78692.000000	"M"	6	8	"12"	1	0	2	28	10	25	34.912701	3
117367	1	1	2006-04-15 00:00:00	1	2006-04-15 00:00:00		92	45	17	241	"Foxton"	45	"F"	0	0	0	63	78692.000000	"M"	6	37	"48"	1	1	3	2	10	25	10.671300	2
117393	2	1	2006-07-05 00:00:00	0		421	744	53	24	70	"Kingsville"	53	"F"	0	0	0	42	78661.000000	"U"	3	39	"48"	4	0	4	1	12	44	8.502330	1
117406	2	1	2006-07-21 00:00:00	1		183	2047	33	2	496	"Catburg"	33	"M"	0	0	0	42	78661.000000	"U"	4	30	"36"	4	0	1	21	12	44	27.757500	2
117428	2	1	2006-07-02 00:00:00	1		421	565	32	4	89	"Catburg"	32	"M"	0	0	0	43	78733.000000	"M"	2	7	"12"	4	3	2	1	14	42	9.851660	2
117482	1	1	2006-05-17 00:00:00	1	2006-05-17 00:00:00		343	77	49	166	"Catburg"	77	"M"	0	0	0	30	78812.000000	"M"	5	31	"36"	6	2	3	1	13	55	8.759000	1
117487	2	1	2006-07-10 00:00:00	1		421	1198	19	0	83	"Princeton"	19	"F"	0	0	0	30	78812.000000	"S"	6	14	"24"	6	2	4	2	13	55	8.346650	3
117554	2	1	2006-07-03 00:00:00	0		421	601	37	11	168	"Foxton"	37	"F"	0	0	0	58	78849.000000	"U"	3	22	"24"	2	0	2	2	10	31	11.091300	2
117634	2	1	2006-07-24 00:00:00	1		183	2338	33	5	447	"Catburg"	33	"M"	0	0	0	67	78761.000000	"S"	2	29	"36"	0	1	2	16	10	22	22.913500	2
117653	2	1	2006-07-08 00:00:00	1		421	1041	20	0	213	"Ravensville"	20	"M"	0	0	0	52	78799.000000	"S"	5	12	"24"	3	0	1	1	12	35	12.099000	2
117805	2	1	2006-07-14 00:00:00	0		421	1530	42	13	613	"Kingsville"	42	"M"	0	0	0	80	79398.000000	"S"	6	15	"24"	1	2	4	3	4	15	10.637000	2
117808	2	1	2006-07-16 00:00:00	1		183	1681	17	0	724	"Kingsville"	17	"F"	0	0	0	80	79398.000000	"S"	6	13	"24"	1	0	4	15	4	15	22.182400	1
117810	2	1	2006-07-10 00:00:00	0		421	1173	40	5	99	"Catburg"	40	"M"	0	0	0	80	79398.000000	"M"	6	7	"12"	1	1	3	2	4	15	11.465700	2
117853	2	1	2006-07-08 00:00:00	1		421	1034	38	7	76	"Kingsville"	38	"F"	0	0	0	45	79425.000000	"U"	5	21	"24"	4	0	4	3	10	44	12.337600	3
117865	2	1	2006-07-11 00:00:00	0		421	1242	54	24	119	"Kingsville"	54	"F"	0	0	0	45	79425.000000	"U"	4	37	"48"	4	3	3	2	10	44	12.519000	2
117891	2	1	2006-07-07 00:00:00	1		421	943	31	2	299	"Kingsville"	31	"F"	0	0	0	54	79372.000000	"U"	3	32	"36"	2	1	2	1	8	36	10.032300	1
117954	2	1	2006-07-18 00:00:00	1		421	1848	27	0	197	"Foxton"	27	"F"	0	0	0	42	79427.000000	"S"	2	27	"36"	4	2	4	1	14	42	12.289000	2
118001	1	1	2006-04-27 00:00:00	1	2006-04-27 00:00:00		179	27	1	267	"Catburg"	27	"M"	0	0	0	65	79404.000000	"M"	6	17	"24"	0	2	5	2	15	19	10.138000	3
118193	1	1	2006-05-25 00:00:00	1	2006-05-25 00:00:00		417	47	18	269	"Kingsville"	47	"M"	0	0	0	34	79998.000000	"U"	3	17	"24"	6	0	5	3	13	51	10.577300	1
118277	2	1	2006-07-06 00:00:00	1		421	862	16	0	347	"Catburg"	16	"M"	0	0	0	52	80092.000000	"S"	6	11	"12"	2	1	5	3	22	24	11.075600	2
118316	2	1	2006-07-20 00:00:00	1		183	2008	34	7	1034	"Catburg"	34	"M"	0	0	0	55	80110.000000	"S"	7	5	"12"	2	0	3	14	9	35	21.406601	1
118345	2	1	2006-07-08 00:00:00	0		183	1027	43	15	305	"Princeton"	43	"M"	0	0	0	57	80066.000000	"M"	3	34	"36"	2	1	2	1	11	31	8.379000	1
118372	2	1	2006-07-24 00:00:00	0		421	2340	51	19	210	"Ravensville"	51	"M"	0	0	0	56	80121.000000	"M"	5	5	"12"	2	0	3	1	11	32	11.455700	2
118410	2	1	2006-07-19 00:00:00	1		421	1884	39	14	126	"Foxton"	39	"M"	0	0	0	59	80124.000000	"U"	2	18	"24"	1	0	3	2	4	36	12.489700	2
118494	2	1	2006-07-25 00:00:00	1		421	2386	26	0	319	"Kingsville"	26	"F"	0	0	0	56	80413.000000	"S"	5	33	"36"	2	2	3	2	13	29	9.752320	1
118599	2	1	2006-07-24 00:00:00	0		421	2317	52	22	137	"Princeton"	52	"M"	0	0	0	61	80383.000000	"S"	2	29	"36"	1	0	2	1	6	32	12.553300	1
118628	2	1	2006-07-02 00:00:00	1		421	557	15	0	258	"Queensbury"	15	"M"	0	0	0	60	80396.000000	"S"	7	20	"24"	1	1	4	2	18	21	9.624670	3
118631	1	1	2006-05-28 00:00:00	1	2006-05-28 00:00:00		441	34	3	1082	"Ravensville"	34	"F"	0	0	0	60	80396.000000	"S"	7	20	"24"	1	1	4	11	18	21	18.153700	1
118650	2	1	2006-07-29 00:00:00	0		421	2696	48	18	259	"Foxton"	48	"F"	0	0	0	63	80435.000000	"S"	7	27	"36"	1	4	3	2	11	24	8.592320	2
118665	2	1	2006-07-24 00:00:00	0		183	2359	47	16	349	"Catburg"	47	"M"	0	0	0	64	80499.000000	"U"	5	22	"24"	1	0	2	1	8	26	9.815670	1
118690	2	1	2006-07-27 00:00:00	0		421	2548	68	42	162	"Queensbury"	68	"F"	0	0	0	54	80645.000000	"M"	5	24	"36"	2	0	2	2	10	35	13.353900	2
118716	2	1	2006-07-05 00:00:00	1		183	747	48	21	1318	"Ravensville"	48	"M"	0	0	1	63	80800.000000	"S"	3	18	"24"	1	2	5	43	12	24	50.454601	2
118745	1	1	2006-04-20 00:00:00	1	2006-04-20 00:00:00		121	35	5	353	"Ravensville"	35	"M"	0	0	0	38	81386.000000	"M"	4	5	"12"	5	0	3	2	9	52	10.829000	2
118760	2	1	2006-07-08 00:00:00	1		421	1052	58	27	31	"Catburg"	58	"M"	0	0	0	38	81386.000000	"U"	3	40	"48"	5	0	3	1	9	52	12.530000	3
118770	2	1	2006-07-10 00:00:00	1		183	1182	30	2	722	"Foxton"	30	"M"	0	0	0	64	81438.000000	"M"	2	5	"12"	1	2	2	17	12	22	24.000900	1
118822	2	1	2006-07-06 00:00:00	0		183	869	51	20	120	"Ravensville"	51	"M"	0	0	0	51	81441.000000	"M"	1	22	"24"	3	1	3	1	10	37	7.319990	3
