region	tenure	age	marital	address	income	ed	employ	retire	gender	reside	tollfree	equip	callcard	wireless	longmon	tollmon	equipmon	cardmon	wiremon	longten	tollten	equipten	cardten	wireten	multline	voice	pager	internet	callid	callwait	forward	confer	ebill	loglong	logtoll	logequi	logcard	logwire	lninc	custcat	churn
2	13	44	1	9	64.000000	4	5	0.000000	0	2	0	0	1	0	3.700000	0.000000	0.000000	7.500000	0.000000	37.450000	0.000000	0.000000	110.000000	0.000000	0	0	0	0	0	0	1	0	0	1.308333			2.014903		4.158883	1	1
3	11	33	1	7	136.000000	5	5	0.000000	0	6	1	0	1	1	4.400000	20.750000	0.000000	15.250000	35.700000	42.000000	211.450000	0.000000	125.000000	380.350000	0	1	1	0	1	1	1	1	0	1.481605	3.032546		2.724580	3.575151	4.912655	4	1
3	68	52	1	24	116.000000	1	29	0.000000	1	2	1	0	1	0	18.150000	18.000000	0.000000	30.250000	0.000000	1300.600000	1247.200000	0.000000	2150.000000	0.000000	0	0	0	0	1	1	0	1	0	2.898671	2.890372		3.409496		4.753590	3	0
2	33	33	0	12	33.000000	2	0	0.000000	1	1	0	0	0	0	9.450000	0.000000	0.000000	0.000000	0.000000	288.800000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0	0	0	0	0	2.246015					3.496508	1	1
2	23	30	1	9	30.000000	1	2	0.000000	0	4	0	0	0	0	6.300000	0.000000	0.000000	0.000000	0.000000	157.050000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	1	0	1	1	0	1.840550					3.401197	3	0
2	41	39	0	17	78.000000	2	16	0.000000	1	1	1	0	1	0	11.800000	19.250000	0.000000	13.500000	0.000000	487.400000	798.400000	0.000000	570.000000	0.000000	0	0	0	0	1	1	0	0	0	2.468100	2.957511		2.602690		4.356709	3	0
3	45	22	1	2	19.000000	2	4	0.000000	1	5	0	0	1	0	10.900000	0.000000	0.000000	8.750000	0.000000	504.500000	0.000000	0.000000	415.000000	0.000000	1	0	0	1	0	1	0	0	1	2.388763			2.169054		2.944439	2	1
2	38	35	0	5	76.000000	2	10	0.000000	0	3	1	1	1	1	6.050000	45.000000	50.100000	23.250000	64.900000	239.550000	1873.050000	1820.900000	880.000000	2256.700000	1	1	1	1	1	1	1	1	1	1.800058	3.806662	3.914021	3.146305	4.172848	4.330733	4	0
3	45	59	1	7	166.000000	4	31	0.000000	0	5	1	0	1	0	9.750000	28.500000	0.000000	12.000000	0.000000	449.050000	1240.150000	0.000000	505.000000	0.000000	1	0	0	0	1	1	1	1	0	2.277267	3.349904		2.484907		5.111988	3	0
1	68	41	1	21	72.000000	1	22	0.000000	0	3	0	0	1	0	24.150000	0.000000	0.000000	16.500000	0.000000	1659.700000	0.000000	0.000000	1155.000000	0.000000	1	0	0	0	0	0	0	0	0	3.184284			2.803360		4.276666	2	0
2	5	33	0	10	125.000000	4	5	0.000000	1	1	0	1	0	0	4.850000	0.000000	26.150000	0.000000	0.000000	17.250000	0.000000	110.100000	0.000000	0.000000	0	0	1	1	0	0	0	0	1	1.578979		3.263849			4.828314	1	1
